action_taken,loan_type,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,interest_rate,property_value,loan_term,loan_type.1,loan_purpose,occupancy_type,applicant_age,negative_amortization,rate_spread,derived_race_2 or more minority races,derived_race_American Indian or Alaska Native,derived_race_Asian,derived_race_Black or African American,derived_race_Free Form Text Only,derived_race_Joint,derived_race_Native Hawaiian or Other Pacific Islander,derived_race_Race Not Available,derived_race_White,derived_sex_Female,derived_sex_Joint,derived_sex_Male,derived_sex_Sex Not Available,y_pred
1,1,905000.0,3225.0,10.0,57.14,3.74,1575000.0,360.0,1,2,1,60.0,2,-0.69,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,165000.0,108.0,,,,,,1,1,1,50.0,1111,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,25000.0,61.0,,,,,,1,2,1,40.0,1111,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,2,65000.0,0.0,10.0,92.35,,65000.0,360.0,2,1,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,2115000.0,,33.0,61.31,2.875,3455000.0,360.0,1,31,2,40.0,2,-0.511,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,1855000.0,589.0,46.0,57.969,3.625,3205000.0,360.0,1,32,1,60.0,2,-0.32,False,False,False,False,False,False,False,True,False,False,True,False,False,1
1,4,125000.0,48.0,42.0,99.202,5.25,125000.0,360.0,4,1,1,30.0,2,1.198,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,1,125000.0,104.0,38.0,,,,240.0,1,4,1,60.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,605000.0,161.0,40.0,19.51,3.99,3075000.0,360.0,1,31,1,70.0,2,-1.21,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,45000.0,185.0,,,,,240.0,1,2,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,1,55000.0,106.0,25.0,75.956,4.5,185000.0,300.0,1,2,1,30.0,2,0.29,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,35000.0,144.0,10.0,18.421,,195000.0,,1,2,1,60.0,2,,False,False,False,False,False,True,False,False,False,False,True,False,False,1
1,2,185000.0,98.0,36.0,96.5,4.625,195000.0,360.0,2,1,1,30.0,2,1.141,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,55000.0,225.0,,,,,,1,2,1,50.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,425000.0,244.0,25.0,34.89,2.875,1225000.0,360.0,1,31,1,50.0,2,-0.443,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,125000.0,,37.0,80.0,4.89,535000.0,360.0,1,31,1,50.0,2,-0.16,False,False,False,False,False,False,False,False,True,False,True,False,False,1
